timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667623350026,500,Request1-1,200,OK,Thread Group 1-1,text,true,,17465,117,10,10,https://www.google.com/,494,0,0
1667623349725,812,Request1,200,OK,Thread Group 1-7,text,true,,18139,230,10,10,https://www.google.com/,335,0,0
1667623349725,335,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,113,10,10,https://google.com/,335,0,0
1667623350060,477,Request1-1,200,OK,Thread Group 1-7,text,true,,17436,117,10,10,https://www.google.com/,473,0,0
1667623349540,1195,Request1,200,OK,Thread Group 1-9,text,true,,18208,230,10,10,https://www.google.com/,666,0,0
1667623349540,666,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,113,10,10,https://google.com/,666,0,0
1667623350206,529,Request1-1,200,OK,Thread Group 1-9,text,true,,17505,117,10,10,https://www.google.com/,526,0,0
1667623350494,850,Request1,200,OK,Thread Group 1-2,text,true,,18252,230,10,10,https://www.google.com/,327,0,0
1667623350494,327,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,113,10,10,https://google.com/,327,0,0
1667623350821,523,Request1-1,200,OK,Thread Group 1-2,text,true,,17549,117,10,10,https://www.google.com/,511,0,0
1667623349908,1481,Request1,200,OK,Thread Group 1-3,text,true,,18210,230,10,10,https://www.google.com/,1055,0,0
1667623349908,1055,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,113,10,10,https://google.com/,1055,0,0
1667623350963,426,Request1-1,200,OK,Thread Group 1-3,text,true,,17507,117,10,10,https://www.google.com/,418,0,0
1667623349145,2336,Request1,200,OK,Thread Group 1-8,text,true,,18222,230,10,10,https://www.google.com/,1590,0,0
1667623349145,1590,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,113,10,10,https://google.com/,1590,0,0
1667623350735,746,Request1-1,200,OK,Thread Group 1-8,text,true,,17519,117,10,10,https://www.google.com/,734,0,0
1667623350526,1144,Request1,200,OK,Thread Group 1-1,text,true,,18195,230,10,10,https://www.google.com/,321,0,0
1667623350526,322,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,113,10,10,https://google.com/,321,0,0
1667623350848,822,Request1-1,200,OK,Thread Group 1-1,text,true,,17492,117,10,10,https://www.google.com/,804,0,0
1667623350165,1635,Request1,200,OK,Thread Group 1-4,text,true,,18215,230,10,10,https://www.google.com/,1105,0,0
1667623350165,1105,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,113,10,10,https://google.com/,1105,0,0
1667623351269,531,Request1-1,200,OK,Thread Group 1-4,text,true,,17512,117,10,10,https://www.google.com/,526,0,0
1667623350161,1643,Request1,200,OK,Thread Group 1-10,text,true,,18174,230,10,10,https://www.google.com/,1109,0,0
1667623350161,1109,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,113,10,10,https://google.com/,1109,0,0
1667623351269,535,Request1-1,200,OK,Thread Group 1-10,text,true,,17471,117,10,10,https://www.google.com/,528,0,0
1667623350219,1586,Request1,200,OK,Thread Group 1-6,text,true,,18220,230,10,10,https://www.google.com/,1051,0,0
1667623350219,1051,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,113,10,10,https://google.com/,1051,0,0
1667623351269,536,Request1-1,200,OK,Thread Group 1-6,text,true,,17517,117,10,10,https://www.google.com/,535,0,0
